,Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
741417,2017-05-05 21:05:31,2017-05-05 21:10:29,298,Lincoln Ave & Leavitt St,Lincoln Ave & Belle Plaine Ave,Subscriber,Male,1985
241055,2017-02-22 09:19:02,2017-02-22 09:26:04,422,Wells St & Polk St,Daley Center Plaza,Subscriber,Male,1987
118806,2017-02-02 10:22:00,2017-02-02 10:25:06,186,Franklin St & Lake St,Franklin St & Monroe St,Subscriber,Male,1967
973156,2017-05-27 13:15:49,2017-05-27 13:53:11,2242,Broadway & Barry Ave,Kingsbury St & Kinzie St,Subscriber,Male,1990
1384980,2017-06-21 09:19:56,2017-06-21 09:23:07,191,Orleans St & Elm St (*),Clark St & Elm St,Subscriber,Male,1988
200171,2017-02-18 13:08:36,2017-02-18 13:12:41,245,Lombard Ave & Garfield St,East Ave & Garfield St,Customer,,
1544413,2017-06-30 15:58:11,2017-06-30 16:13:04,893,Kedzie Ave & Foster Ave,Christiana Ave & Lawrence Ave,Subscriber,Male,1971
927351,2017-05-22 18:24:48,2017-05-22 18:38:41,833,Streeter Dr & Grand Ave,Theater on the Lake,Customer,,
701234,2017-05-01 07:45:10,2017-05-01 08:07:28,1338,Morgan St & 31st St,Franklin St & Jackson Blvd,Subscriber,Male,1986
438631,2017-04-01 19:43:31,2017-04-01 19:47:59,268,Broadway & Barry Ave,Broadway & Cornelia Ave,Subscriber,Male,1980
616661,2017-04-21 14:11:54,2017-04-21 14:20:03,489,Wolcott Ave & Polk St,May St & Taylor St,Subscriber,Male,1992
543417,2017-04-15 11:48:31,2017-04-15 12:19:46,1875,Shedd Aquarium,Lake Park Ave & 47th St,Subscriber,Female,1990
1351383,2017-06-19 08:54:41,2017-06-19 09:03:04,503,Stetson Ave & South Water St,Kingsbury St & Erie St,Subscriber,Male,1989
189761,2017-02-17 13:13:19,2017-02-17 13:17:19,240,Shedd Aquarium,Adler Planetarium,Subscriber,Female,1971
743340,2017-05-06 11:17:39,2017-05-06 11:24:23,404,Winchester Ave & Elston Ave,Damen Ave & Pierce Ave,Customer,,
212151,2017-02-19 12:04:35,2017-02-19 12:15:29,654,Broadway & Wilson Ave,Montrose Harbor,Subscriber,Male,1992
